state,q0,q1,q2,q3,q4,q5,q6,q7,q8
"-1,1,0,0,0,1,-1,0,0",-99,-99,-5.484056114253135,6.566903409293681,1.2015974563545315,-99,-99,-2.3697770858036145,0.2704401424086025
"-1,1,0,0,0,1,-1,0,1",-99,-99,0,0,0,-99,-99,0,-99
"-1,1,0,0,0,1,-1,1,-1",-99,-99,-19.999999999999986,-6.703498882819492,9.999999999999993,-99,-99,-99,-99
"-1,1,0,0,0,1,-1,1,0",-99,-99,0,0,0,-99,-99,-99,0
"-1,1,0,0,0,1,0,-1,-1",-99,-99,-19.84765608890631,-17.762444190030898,3.8521267228549974,-99,-11.895404599245833,-99,-99
"-1,1,0,0,0,1,0,-1,0",-99,-99,5.258988888422749,7.635742739350348,7.618319463988815,-99,7.110100161520317,-99,8.524403495496383
"-1,1,0,0,0,1,0,-1,1",-99,-99,0,0,0,-99,0,-99,-99
"-1,1,0,0,0,1,0,0,-1",-99,-99,-12.773432937283681,4.990303003465826,8.999999999999986,-99,3.307823255249985,1.977812393045701,-99
"-1,1,0,0,0,1,0,0,0",-99,-99,0,0,0,-99,0,0,0
"-1,1,0,0,0,1,0,1,-1",-99,-99,0,0,0,-99,0,-99,-99
"-1,1,0,0,0,1,1,-1,-1",-99,-99,-4.664733166498967,-5.743770163714791,8.999999999999986,-99,-99,-99,-99
"-1,1,0,0,0,1,1,-1,0",-99,-99,0,0,0,-99,-99,-99,0
"-1,1,0,0,0,1,1,0,-1",-99,-99,0,0,0,-99,-99,0,-99
"-1,1,0,0,1,-1,-1,-1,1",-99,-99,-19.999999999999986,4.9999999999999964,-99,-99,-99,-99,-99
"-1,1,0,0,1,-1,-1,0,0",-99,-99,-14.723827731817106,5.86111380493261,-99,-99,-99,9.999999999999993,5.2049140314069575
"-1,1,0,0,1,-1,-1,0,1",-99,-99,-9.62010270312145,6.444554320239963,-99,-99,-99,9.999999999999993,-99
"-1,1,0,0,1,-1,-1,1,0",-99,-99,0,0,-99,-99,-99,-99,0
