state,q0,q1,q2,q3,q4,q5,q6,q7,q8
"-1,-1,0,1,1,-1,-1,1,1",-99,-99,4.9999999999999964,-99,-99,-99,-99,-99,-99
"-1,-1,0,1,1,-1,0,0,1",-99,-99,4.259942469882155,-99,-99,-99,-11.390655800000001,-15.882177358107018,-99
"-1,-1,0,1,1,-1,0,1,0",-99,-99,4.499991908228852,-99,-99,-99,-19.806045254042495,-99,-19.499368899001354
"-1,-1,0,1,1,-1,0,1,1",-99,-99,0,-99,-99,-99,0,-99,-99
"-1,-1,0,1,1,-1,1,0,1",-99,-99,0,-99,-99,-99,-99,0,-99
"-1,-1,0,1,1,-1,1,1,0",-99,-99,0,-99,-99,-99,-99,-99,0
"-1,-1,0,1,1,0,-1,1,1",-99,-99,0,-99,-99,0,-99,-99,-99
"-1,-1,0,1,1,0,0,1,0",-99,-99,0,-99,-99,0,0,-99,0
"-1,-1,0,1,1,0,1,-1,1",-99,-99,0,-99,-99,0,-99,-99,-99
"-1,-1,0,1,1,0,1,0,0",-99,-99,0,-99,-99,0,-99,0,0
"-1,-1,0,1,1,0,1,1,-1",-99,-99,0,-99,-99,0,-99,-99,-99
"-1,-1,1,-1,1,0,-1,1,1",-99,-99,-99,-99,-99,0,-99,-99,-99
"-1,-1,1,-1,1,1,-1,1,0",-99,-99,-99,-99,-99,-99,-99,-99,0
"-1,-1,1,-1,1,1,0,1,0",-99,-99,-99,-99,-99,-99,0,-99,0
"-1,-1,1,0,-1,1,1,1,-1",-99,-99,-99,0,-99,-99,-99,-99,-99
"-1,-1,1,0,0,1,1,1,-1",-99,-99,-99,0,0,-99,-99,-99,-99
"-1,-1,1,0,1,-1,-1,1,1",-99,-99,-99,4.601167784615638,-99,-99,-99,-99,-99
"-1,-1,1,0,1,0,-1,1,0",-99,-99,-99,4.499997250522039,-99,-19.784494726713884,-99,-99,-19.05797426055075
"-1,-1,1,0,1,0,-1,1,1",-99,-99,-99,0,-99,0,-99,-99,-99
"-1,-1,1,0,1,0,0,1,0",-99,-99,-99,0,-99,0,0,-99,0
"-1,-1,1,0,1,1,-1,1,0",-99,-99,-99,0,-99,-99,-99,-99,0
